,date,city,country,venue,opening_act,attendance,revenue
0,January 11,Seoul,Seoul,Seoul,Babymetal,—,—
1,January 15,Shanghai,Shanghai,Shanghai,—,"8,670 / 8,670","$1,178,308"
2,January 18,Beijing,Beijing,Beijing,—,—,
3,January 20,Hong Kong,Hong Kong,Hong Kong,,,
4,January 22,Singapore,Singapore,Singapore,,,
5,February 3,Copenhagen,Copenhagen,Copenhagen,Hatesphere,"59,266 / 59,266","$6,292,736"
6,February 7,I'll Be Damned,I'll Be Damned,I'll Be Damned,,,
7,February 9,Defecto,Defecto,Defecto,,,
8,February 12[c],Los Angeles,Los Angeles,Los Angeles,—,—,—
9,March 1,Mexico City,Mexico City,Mexico City,Iggy Pop,"197,745 / 197,745","$9,744,945"
10,March 3,Mexico City,Mexico City,Mexico City,,,
11,March 5,Mexico City,Mexico City,Mexico City,,,
12,March 25[d],São Paulo,São Paulo,São Paulo,RancidCage the Elephant,—,—
13,March 31[e],Buenos Aires,Buenos Aires,Buenos Aires,,,
14,April 1[f],Santiago,Santiago,Santiago,,,
15,May 10,Baltimore,Baltimore,Baltimore,Avenged SevenfoldVolbeat,"40,850 / 40,850","$5,001,943"
16,May 12,Philadelphia,Philadelphia,Philadelphia,"49,722 / 51,728","$6,104,939",
17,May 14,East Rutherford,East Rutherford,East Rutherford,"46,941 / 49,155","$5,955,038",
18,May 17,Uniondale,Uniondale,Uniondale,"14,941 / 14,941","$2,198,951",
19,May 19,Foxborough,Foxborough,Foxborough,"$6,095,723",,
20,May 21[g],Columbus,Columbus,Columbus,—,—,
21,June 4,St. Louis,St. Louis,St. Louis,"38,778 / 41,246","$4,633,807",
22,June 7,Denver,Denver,Denver,"51,955 / 57,027","$6,299,803",
23,June 9,Newton,Newton,Newton,—,,
24,June 11,Houston,Houston,Houston,"$5,659,560",,
25,June 14,San Antonio,San Antonio,San Antonio,"45,343 / 47,784","$5,293,857",
26,June 16,Arlington,Arlington,Arlington,"$5,481,881",,
27,June 18,Chicago,Chicago,Chicago,"$6,095,723",,
28,July 5,Orlando,Orlando,Orlando,"49,961 / 53,163","$5,613,708",
29,July 7,Miami Gardens,Miami Gardens,Miami Gardens,"$4,163,523",,
30,July 9,Atlanta,Atlanta,Atlanta,"$4,531,443",,
31,July 12,Detroit,Detroit,Detroit,"$4,501,650",,
32,July 14[h],Quebec City,Quebec City,Quebec City,—,—,—
33,July 16,Toronto,Toronto,Toronto,"51,018 / 51,018","$6,934,370",
34,July 19,Montreal,Montreal,Montreal,"$3,258,580",,
35,July 29,Pasadena,Pasadena,Pasadena,Avenged SevenfoldGojira,"63,285 / 63,285","$6,684,282"
36,August 4,Glendale,Glendale,Glendale,"$5,246,586",,
37,August 6,San Diego,San Diego,San Diego,"$4,846,411",,
38,August 9,Seattle,Seattle,Seattle,"$4,944,489",,
39,August 12[i],San Francisco,San Francisco,San Francisco,—,—,
40,August 14,Vancouver,Vancouver,Vancouver,Avenged SevenfoldGojira,"31,075 / 31,075","$3,405,806"
41,August 16,Edmonton,Edmonton,Edmonton,"$6,223,238",,
42,September 2[j],Copenhagen,Copenhagen,Copenhagen,Aphyxion,,
43,September 4,Amsterdam,Amsterdam,Amsterdam,Kvelertak,"33,498 / 33,498","$2,773,774"
44,September 6,Amsterdam,Amsterdam,Amsterdam,,,
45,September 8,Paris,Paris,Paris,"36,765 / 36,765","$3,659,706",
46,September 10,Paris,Paris,Paris,,,
47,September 12,Lyon,Lyon,Lyon,"$1,526,828",,
48,September 14,Cologne,Cologne,Cologne,"36,326 / 36,326","$3,850,043",
49,September 16,Cologne,Cologne,Cologne,,,
50,October 22,London,London,London,"39,976 / 41,130","$4,245,290",
51,October 24,London,London,London,,,
52,October 26,Glasgow,Glasgow,Glasgow,"12,748 / 12,748","$1,382,510",
53,October 28,Manchester,Manchester,Manchester,"19,423 / 19,423","$2,038,870",
54,October 30,Birmingham,Birmingham,Birmingham,"$1,585,316",,
55,November 1,Antwerp,Antwerp,Antwerp,"45,242 / 45,242","$4,411,706",
56,November 3,Antwerp,Antwerp,Antwerp,,,
57,November 9[k],San Francisco,San Francisco,San Francisco,—,—,—
